StartDate,StartTime,Cage,In_g
10/3/2020,12:46:15 AM,2,0.002
10/3/2020,8:46:34 AM,2,0.207
10/3/2020,9:13:52 AM,2,0.312
10/3/2020,10:25:51 AM,2,0.294
10/3/2020,11:37:51 AM,2,0.128
10/3/2020,12:59:11 PM,2,0.301
10/3/2020,2:34:39 PM,2,0.348
10/3/2020,4:17:58 PM,2,0.385
10/3/2020,5:31:17 PM,2,0.203
10/3/2020,5:49:28 PM,2,0.218
10/3/2020,6:50:35 PM,2,0.153
10/3/2020,7:25:52 PM,2,0.072
10/3/2020,7:50:10 PM,2,0.014
10/3/2020,8:00:58 PM,2,0.366
10/3/2020,9:00:51 PM,2,0.485
10/3/2020,10:08:00 PM,2,0.134
10/3/2020,10:58:29 PM,2,0.004
10/3/2020,11:05:17 PM,2,0.155
10/4/2020,1:23:45 AM,2,0.667
10/4/2020,1:40:32 AM,2,0.024
10/4/2020,2:14:09 AM,2,0.004
10/4/2020,6:05:49 AM,2,0.041
10/4/2020,7:33:30 AM,2,0.006
10/4/2020,10:34:53 AM,2,0.004
10/4/2020,3:31:50 PM,2,0.003
10/4/2020,3:56:49 PM,2,0.013
10/4/2020,5:31:39 PM,2,0.001
10/4/2020,7:31:38 PM,2,0.005
10/4/2020,11:18:44 PM,2,0.004
10/5/2020,1:10:22 AM,2,0.023
10/5/2020,1:23:24 AM,2,0.026
10/5/2020,4:10:58 AM,2,0.01
10/5/2020,8:44:42 AM,2,0.323
10/5/2020,9:15:51 AM,2,0.184
10/5/2020,9:30:51 AM,2,0.371
10/5/2020,11:12:20 AM,2,0.24
10/5/2020,12:39:48 PM,2,0.533
10/5/2020,2:41:01 PM,2,0.317
10/5/2020,4:09:31 PM,2,0.301
10/5/2020,4:28:41 PM,2,0.026
10/5/2020,5:18:20 PM,2,0.414
10/5/2020,6:22:30 PM,2,0.002
10/5/2020,7:02:12 PM,2,0.275
10/5/2020,7:19:21 PM,2,0.006
10/5/2020,7:30:31 PM,2,0.096
10/5/2020,8:41:42 PM,2,0.254
10/5/2020,9:00:53 PM,2,0.002
10/5/2020,9:06:55 PM,2,0.189
10/5/2020,11:09:16 PM,2,0.25
10/5/2020,11:33:31 PM,2,0.003
10/5/2020,11:38:41 PM,2,0.226
10/6/2020,1:55:30 AM,2,0.285
10/6/2020,2:12:38 AM,2,0.213
10/6/2020,4:04:13 AM,2,0.003
10/6/2020,4:13:15 AM,2,0.183
10/6/2020,5:30:35 AM,2,0.01
10/6/2020,6:59:19 AM,2,0.018
10/6/2020,10:08:22 AM,2,0.005
10/6/2020,10:15:14 AM,2,0.009
10/6/2020,10:41:35 AM,2,0.001
10/6/2020,12:31:30 PM,2,0.002
10/6/2020,12:35:22 PM,2,0.002
10/6/2020,2:27:05 PM,2,0.002
10/6/2020,4:05:15 PM,2,0.017
