Date_Time_1,subjectsID,,actual_foodupa,kcal,kcal_mean,actual_allmeters,bodymass,rq,actual_pedmeters,vco2,vo2,locomotion,actual_waterupa
8/4/2021 16:00,2,Three_Meal,0.35478975,1.4418608,0.3604652,1.1955875,24.68857,0.843670725,0.7329,1.055849825,1.228110325,216.5,0.1822341
8/4/2021 16:00,6,Three_Meal,0.369353033,1.6396014,0.40990035,1.01717825,24.41318,0.8116592,0.57990225,1.15971505,1.40802525,189,0.164168265
8/4/2021 16:00,8,Three_Meal,0.074289,1.4560304,0.3640076,1.064165,20.7302,0.797681875,0.8412325,1.020854825,1.252912325,117.5,0.18495269
8/4/2021 16:00,11,Three_Meal,0.54485312,1.4576415,0.364410375,1.8886275,20.3844025,0.827035425,1.54141,1.007816275,1.258274725,225,0.21218472
8/4/2021 16:00,14,Three_Meal,0.61178425,1.4274134,0.35685335,1.104045,21.90108,0.8089956,0.89929,1.016586375,1.2238547,123.75,0.2193651
8/4/2021 16:00,15,Three_Meal,0.5697693,1.6694604,0.4173651,2.301545,26.12805,0.999131975,1.6630775,1.36736925,1.381318,256.75,0.38812551
8/4/2021 17:00,1,Control,0.2187183,1.4107027,0.352675675,6.18229,23.23223,0.908124375,5.69034,1.074249475,1.1900049,411.75,0.1270062
8/4/2021 17:00,4,Control,0.1521856,1.5893488,0.3973372,0.7199375,25.19217,0.8513797,0.36134,1.1572225,1.35559475,127.5,0.01963802
8/4/2021 17:00,7,Control,0,1.3462742,0.33656855,0.147945,25.315485,0.85893605,0.01551,0.984283725,1.14713465,28.5,0
8/4/2021 17:00,10,Control,0.1907614,1.6821288,0.4205322,0.9839925,22.6830875,0.880639075,0.77553775,1.257364125,1.42558375,160,0.1368191
8/4/2021 17:00,13,Control,0.1062821,1.4663157,0.366578925,0.22731,26.16215,0.9278184,0.032935,1.14241075,1.22967325,58.25,0
8/4/2021 17:00,3,Six_Meal,0.4124897,1.9526613,0.488165325,3.353465,27.32666,1.009052325,2.413775,1.6194355,1.609996,424.25,0.0806883
8/4/2021 17:00,5,Six_Meal,0.0381162,1.5343033,0.383575825,0.6683825,22.81438,0.97271055,0.3833575,1.23951875,1.2743015,103,0.1422011
8/4/2021 17:00,9,Six_Meal,0.1362006,1.5886422,0.39716055,0.7494125,26.34409,1.000731025,0.302705,1.30861925,1.31235975,150.75,0.0728193
8/4/2021 17:00,12,Six_Meal,0.0436686,1.192897,0.29822425,0.151565,22.871155,0.964693625,0.084885,0.957462325,0.992501975,4.75,0.0580334
8/4/2021 17:00,16,Six_Meal,0.0413221,1.3859064,0.3464766,0.81811,25.86562,0.96283485,0.5596875,1.110311,1.15366825,67.75,0.0470608
8/4/2021 17:00,2,Three_Meal,0.3698457,1.6248556,0.4062139,0.6437825,24.905165,1.06222475,0.2646125,1.404032,1.32387025,142,0.3380296
8/4/2021 17:00,6,Three_Meal,0.7140121,1.7052343,0.426308575,0.76161,24.4158875,1.010472375,0.252923,1.41877425,1.40471425,162.75,0.1733562
8/4/2021 17:00,8,Three_Meal,0.2523201,1.4971841,0.374296025,0.6163975,21.0224675,0.984808325,0.4744925,1.2192125,1.2407555,52.5,0.240787
8/4/2021 17:00,11,Three_Meal,0.1035229,1.2292937,0.307323425,0.5945575,20.7096675,1.0241272,0.4427925,1.032346825,1.009967475,51.5,0.0918622
8/4/2021 17:00,14,Three_Meal,0.2721612,1.4213659,0.355341475,0.866555,22.4381375,1.017745175,0.708345,1.1889188,1.169097675,95.25,0.1746137
8/4/2021 17:00,15,Three_Meal,0.387638,1.6268464,0.4067116,0.818815,26.12805,1.0866045,0.55492,1.430105,1.31865775,121.75,0.2671116
8/4/2021 18:00,1,Control,0.3268358,1.4786344,0.3696586,6.7311075,23.16922,0.8992184,6.3110825,1.121999675,1.24842525,436.75,0.3150273
8/4/2021 18:00,4,Control,0.157112,1.4592784,0.3648196,0.720745,25.09324,0.917691875,0.531225,1.1254885,1.226982,70.25,0.1337129
